id,extracted,not_ext_reason,transformed,not_trans_reason,loaded,not_loaded_reason
425,True,,False,transformation error,False,
426,True,,False,transformation error,False,
427,True,,False,transformation error,False,
428,True,,False,transformation error,False,
429,True,,False,transformation error,False,
430,True,,False,transformation error,False,
431,True,,False,transformation error,False,
433,True,,False,transformation error,False,
434,True,,False,transformation error,False,
435,True,,False,transformation error,False,
441,True,,False,transformation error,False,
442,True,,False,transformation error,False,
443,True,,False,transformation error,False,
444,True,,False,transformation error,False,
445,True,,False,transformation error,False,
446,True,,False,transformation error,False,
447,True,,False,transformation error,False,
448,True,,False,transformation error,False,
449,True,,False,transformation error,False,
450,True,,False,transformation error,False,
452,True,,False,transformation error,False,
453,True,,False,transformation error,False,
454,True,,False,transformation error,False,
455,True,,False,transformation error,False,
457,True,,False,transformation error,False,
458,True,,False,transformation error,False,
459,True,,False,transformation error,False,
460,True,,False,transformation error,False,
461,True,,False,transformation error,False,
462,True,,False,transformation error,False,
463,True,,False,transformation error,False,
465,True,,False,transformation error,False,
466,True,,False,transformation error,False,
468,True,,False,transformation error,False,
469,True,,False,transformation error,False,
470,True,,False,transformation error,False,
471,True,,False,transformation error,False,
472,True,,False,transformation error,False,
473,True,,False,transformation error,False,
474,True,,False,transformation error,False,
475,True,,False,transformation error,False,
476,True,,False,transformation error,False,
477,True,,False,transformation error,False,
478,True,,False,transformation error,False,
479,True,,False,transformation error,False,
481,True,,False,transformation error,False,
482,True,,False,transformation error,False,
483,True,,False,transformation error,False,
485,True,,False,transformation error,False,
486,True,,False,transformation error,False,
487,True,,False,transformation error,False,
488,True,,False,transformation error,False,
489,True,,False,transformation error,False,
490,True,,False,transformation error,False,
491,True,,False,transformation error,False,
493,True,,False,transformation error,False,
494,True,,False,transformation error,False,
498,True,,False,transformation error,False,
499,True,,False,transformation error,False,
500,True,,False,transformation error,False,
501,True,,False,transformation error,False,
502,True,,False,transformation error,False,
503,True,,False,transformation error,False,
504,True,,False,transformation error,False,
505,True,,False,transformation error,False,
506,True,,False,transformation error,False,
507,True,,False,transformation error,False,
508,True,,False,transformation error,False,
509,True,,False,transformation error,False,
