id,extracted,not_ext_reason,transformed,not_trans_reason,loaded,not_loaded_reason
1113,True,,True,,True,
1114,True,,True,,True,
1115,True,,True,,True,
1116,True,,True,,True,
1117,True,,True,,True,
1118,True,,True,,True,
1119,True,,True,,True,
1121,True,,True,,True,
1122,True,,True,,True,
1123,True,,True,,True,
1124,True,,True,,True,
1125,True,,True,,True,
1126,True,,True,,True,
1127,True,,True,,True,
1128,True,,True,,True,
1131,True,,True,,True,
1132,True,,True,,True,
1133,True,,True,,True,
1134,True,,True,,True,
1135,True,,True,,True,
1136,True,,True,,True,
1138,True,,True,,True,
1139,True,,True,,True,
1140,True,,True,,True,
1141,True,,True,,True,
1142,True,,True,,True,
1143,True,,True,,True,
1144,True,,True,,True,
1145,True,,True,,True,
1146,True,,True,,True,
1147,True,,True,,True,
1148,True,,True,,True,
1149,True,,True,,True,
1151,True,,True,,True,
1152,True,,True,,True,
1153,True,,True,,True,
1154,True,,True,,True,
1155,True,,True,,True,
1156,True,,True,,True,
1157,True,,True,,True,
1158,True,,True,,True,
1159,True,,True,,True,
1160,True,,True,,True,
1161,True,,True,,True,
1162,True,,True,,True,
1163,True,,True,,True,
1164,True,,True,,True,
1165,True,,True,,True,
1167,True,,True,,True,
1168,True,,True,,True,
1169,True,,True,,True,
1170,True,,True,,True,
1171,True,,True,,True,
1172,True,,True,,True,
1173,True,,True,,True,
1174,True,,True,,True,
1175,True,,True,,True,
1176,True,,True,,True,
1177,True,,True,,True,
1178,True,,True,,True,
1179,True,,True,,True,
1180,True,,True,,True,
1181,True,,True,,True,
1182,True,,True,,True,
1183,True,,True,,True,
1184,True,,True,,True,
1185,True,,True,,True,
1186,True,,True,,True,
1187,True,,True,,True,
1188,True,,True,,True,
1189,True,,True,,True,
1190,True,,True,,True,
1191,True,,True,,True,
1192,True,,True,,True,
1193,True,,True,,True,
1194,True,,True,,True,
1195,True,,True,,True,
1196,True,,True,,True,
1197,True,,True,,True,
1198,True,,True,,True,
1199,True,,True,,True,
1200,True,,True,,True,
1201,True,,True,,True,
1202,True,,True,,True,
1203,True,,True,,True,
1204,True,,True,,True,
1205,True,,True,,True,
1206,True,,True,,True,
1207,True,,True,,True,
1208,True,,True,,True,
1209,True,,True,,True,
1210,True,,True,,True,
1211,True,,True,,True,
1212,True,,True,,True,
1213,True,,True,,True,
1214,True,,True,,True,
1215,True,,True,,True,
1216,True,,True,,True,
1217,True,,True,,True,
1218,True,,True,,True,
1219,True,,True,,True,
1220,True,,True,,True,
1221,True,,True,,True,
1222,True,,True,,True,
1223,True,,True,,True,
1224,True,,True,,True,
1225,True,,True,,True,
1226,True,,True,,True,
1227,True,,True,,True,
1228,True,,True,,True,
1229,True,,True,,True,
1230,True,,True,,True,
1231,True,,True,,True,
1232,True,,True,,True,
1233,True,,True,,True,
1234,True,,True,,True,
1235,True,,True,,True,
1236,True,,True,,True,
1237,True,,True,,True,
1238,True,,True,,True,
1239,True,,True,,True,
1240,True,,True,,True,
1241,True,,True,,True,
1242,True,,True,,True,
1243,True,,True,,True,
1244,True,,True,,True,
1245,True,,True,,True,
1246,True,,True,,True,
1247,True,,True,,True,
1248,True,,True,,True,
1249,True,,True,,True,
1250,True,,True,,True,
1251,True,,True,,True,
1252,True,,True,,True,
1253,True,,True,,True,
1254,True,,True,,True,
1255,True,,True,,True,
1256,True,,True,,True,
1257,True,,True,,True,
1258,True,,True,,True,
1260,True,,True,,True,
1261,True,,True,,True,
1262,True,,True,,True,
1263,True,,True,,True,
1264,True,,True,,True,
1265,True,,True,,True,
1266,True,,True,,True,
1267,True,,True,,True,
1268,True,,True,,True,
1269,True,,True,,True,
1271,True,,True,,True,
1272,True,,True,,True,
1274,True,,True,,True,
1275,True,,True,,True,
1276,True,,True,,True,
1277,True,,True,,True,
1278,True,,True,,True,
1279,True,,True,,True,
1280,True,,True,,True,
1284,True,,True,,True,
1285,True,,True,,True,
1286,True,,True,,True,
1288,True,,True,,True,
1289,True,,True,,True,
1290,True,,True,,True,
1291,True,,True,,True,
1292,True,,True,,True,
1293,True,,True,,True,
1294,True,,True,,True,
1295,True,,True,,True,
1296,True,,True,,True,
1297,True,,True,,True,
1298,True,,True,,True,
1299,True,,True,,True,
1301,True,,True,,True,
1302,True,,True,,True,
1310,True,,True,,True,
1312,True,,True,,True,
1313,True,,True,,True,
1314,True,,True,,True,
1316,True,,True,,True,
1317,True,,True,,True,
2393,True,,True,,True,
2395,True,,True,,True,
2396,True,,True,,True,
2399,True,,True,,True,
2400,True,,True,,True,
2401,True,,True,,True,
2402,True,,True,,True,
2403,True,,True,,True,
2404,True,,True,,True,
2406,True,,True,,True,
2407,True,,True,,True,
2409,True,,True,,True,
2412,True,,True,,True,
2414,True,,True,,True,
2415,True,,True,,True,
2416,True,,True,,True,
2417,True,,True,,True,
2418,True,,True,,True,
2419,True,,True,,True,
2420,True,,True,,True,
2421,True,,True,,True,
2422,True,,True,,True,
2423,True,,True,,True,
2424,True,,True,,True,
2425,True,,True,,True,
2426,True,,True,,True,
2427,True,,True,,True,
2428,True,,True,,True,
2429,True,,True,,True,
2430,True,,True,,True,
2433,True,,True,,True,
2436,True,,True,,True,
2439,True,,True,,True,
2446,True,,True,,True,
2451,True,,True,,True,
2452,True,,True,,True,
2453,True,,True,,True,
2454,True,,True,,True,
2455,True,,True,,True,
2456,True,,True,,True,
2457,True,,True,,True,
2458,True,,True,,True,
2459,True,,True,,True,
2460,True,,True,,True,
2461,True,,True,,True,
2466,True,,True,,True,
2468,True,,True,,True,
2469,True,,True,,True,
2470,True,,True,,True,
2471,True,,True,,True,
2472,True,,True,,True,
2473,True,,True,,True,
2474,True,,True,,True,
2475,True,,True,,True,
2477,True,,True,,True,
2478,True,,True,,True,
2479,True,,True,,True,
2480,True,,True,,True,
2482,True,,True,,True,
2483,True,,True,,True,
2484,True,,True,,True,
2485,True,,True,,True,
2487,True,,True,,True,
2488,True,,True,,True,
2489,True,,True,,True,
2490,True,,True,,True,
2491,True,,True,,True,
2493,True,,True,,True,
2494,True,,True,,True,
2495,True,,True,,True,
2496,True,,True,,True,
2499,True,,True,,True,
2500,True,,True,,True,
2501,True,,True,,True,
2502,True,,True,,True,
2503,True,,True,,True,
2504,True,,True,,True,
2505,True,,True,,True,
2506,True,,True,,True,
2507,True,,True,,True,
2508,True,,True,,True,
2509,True,,True,,True,
2510,True,,True,,True,
2511,True,,True,,True,
2512,True,,True,,True,
2514,True,,True,,True,
2515,True,,True,,True,
2516,True,,True,,True,
2518,True,,True,,True,
2519,True,,True,,True,
2520,True,,True,,True,
2521,True,,True,,True,
2523,True,,True,,True,
2524,True,,True,,True,
2525,True,,True,,True,
2526,True,,True,,True,
2527,True,,True,,True,
2528,True,,True,,True,
2529,True,,True,,True,
2530,True,,True,,True,
2531,True,,True,,True,
2532,True,,True,,True,
2533,True,,True,,True,
2534,True,,True,,True,
2535,True,,True,,True,
2536,True,,True,,True,
2537,True,,True,,True,
2538,True,,True,,True,
2539,True,,True,,True,
2540,True,,True,,True,
2541,True,,True,,True,
2542,True,,True,,True,
2543,True,,True,,True,
2544,True,,True,,True,
2545,True,,True,,True,
2546,True,,True,,True,
2547,True,,True,,True,
2548,True,,True,,True,
2549,True,,True,,True,
2550,True,,True,,True,
2551,True,,True,,True,
2552,True,,True,,True,
2553,True,,True,,True,
2554,True,,True,,True,
2555,True,,True,,True,
2557,True,,True,,True,
2558,True,,True,,True,
2559,True,,True,,True,
2560,True,,True,,True,
2562,True,,True,,True,
2563,True,,True,,True,
2564,True,,True,,True,
2565,True,,True,,True,
2566,True,,True,,True,
2567,True,,True,,True,
2568,True,,True,,True,
2569,True,,True,,True,
2570,True,,True,,True,
2571,True,,True,,True,
2572,True,,True,,True,
2573,True,,True,,True,
2574,True,,True,,True,
2575,True,,True,,True,
2576,True,,True,,True,
2577,True,,True,,True,
2578,True,,True,,True,
2579,True,,True,,True,
2580,True,,True,,True,
2581,True,,True,,True,
2582,True,,True,,True,
2583,True,,True,,True,
2584,True,,True,,True,
2585,True,,True,,True,
2586,True,,True,,True,
2587,True,,True,,True,
2588,True,,True,,True,
2589,True,,True,,True,
2590,True,,True,,True,
2591,True,,True,,True,
2592,True,,True,,True,
2593,True,,True,,True,
2594,True,,True,,True,
2595,True,,True,,True,
2596,True,,True,,True,
2597,True,,True,,True,
2598,True,,True,,True,
2599,True,,True,,True,
2600,True,,True,,True,
2601,True,,True,,True,
2602,True,,True,,True,
2603,True,,True,,True,
2604,True,,True,,True,
2605,True,,True,,True,
2606,True,,True,,True,
2607,True,,True,,True,
2608,True,,True,,True,
2609,True,,True,,True,
2610,True,,True,,True,
2611,True,,True,,True,
2612,True,,True,,True,
2613,True,,True,,True,
2614,True,,True,,True,
2615,True,,True,,True,
2616,True,,True,,True,
2617,True,,True,,True,
2618,True,,True,,True,
2619,True,,True,,True,
2620,True,,True,,True,
2621,True,,True,,True,
2622,True,,True,,True,
2623,True,,True,,True,
2624,True,,True,,True,
2625,True,,True,,True,
2626,True,,True,,True,
2627,True,,True,,True,
2628,True,,True,,True,
2629,True,,True,,True,
2630,True,,True,,True,
2631,True,,True,,True,
2632,True,,True,,True,
2633,True,,True,,True,
2634,True,,True,,True,
2635,True,,True,,True,
2636,True,,True,,True,
2637,True,,True,,True,
2638,True,,True,,True,
2639,True,,True,,True,
2640,True,,True,,True,
2641,True,,True,,True,
2642,True,,True,,True,
